gamma,distance,k1,k2,value
0.1,1,1,1,9.444444617208694
0.1,1,1,2,6.937881172448781
0.1,1,1,3,6.014205946398924
0.1,1,1,4,5.548842487822024
0.1,1,2,1,7.069444496900394
0.1,1,2,2,4.506633087156018
0.1,1,2,3,3.562400479763314
0.1,1,2,4,3.086739863035979
0.1,1,3,1,6.1986122397409895
0.1,1,3,2,3.6131903626110295
0.1,1,3,3,2.660649600807015
0.1,1,3,4,2.180803376897482
0.1,2,1,1,4.6944444582240585
0.1,2,1,2,2.075366322715066
0.1,2,1,3,1.1106304636814088
0.1,2,1,4,0.6246463634494761
0.1,2,2,1,4.575695316528711
0.1,2,2,2,1.9508346847088895
0.1,2,2,3,0.9838894752771568
0.1,2,2,4,0.4967886343716026
0.1,2,3,1,4.532152868952618
0.1,2,3,2,1.905079618571909
0.1,2,3,3,0.9372764860776844
0.1,2,3,4,0.44974375352979123
0.1,3,1,1,4.456944450274826
0.1,3,1,2,1.8263187031527632
0.1,3,1,3,0.8571496088495919
0.1,3,1,4,0.3689310251746556
0.1,3,2,1,4.451006949317029
0.1,3,2,2,1.8199284137961969
0.1,3,2,3,0.8505998121541123
0.1,3,2,4,0.36229248487967025
0.1,3,3,1,4.448829863254341
0.1,3,3,2,1.8175910869034668
0.1,3,3,3,0.8481909456877337
0.1,3,3,4,0.3598499122321539
0.1,4,1,1,4.445069527787792
0.1,4,1,2,1.8135538276545065
0.1,4,1,3,0.8440500702580591
0.1,4,1,4,0.35566179799075737
0.1,4,2,1,4.444772574603505
0.1,4,2,2,1.8132272409375476
0.1,4,2,3,0.8437116695686189
0.1,4,2,4,0.35530956539624636
0.1,4,3,1,4.444663774772881
0.1,4,3,2,1.813107547906461
0.1,4,3,3,0.8435872179060627
0.1,4,3,4,0.3551827234976005
0.1,5,1,1,4.444475863070678
0.1,5,1,2,1.8129007813001363
0.1,5,1,3,0.8433732757789505
0.1,5,1,4,0.3549651648923352
0.1,5,2,1,4.444477263501637
0.1,5,2,2,1.8128844112279825
0.1,5,2,3,0.8433558077144203
0.1,5,2,4,0.3549470731493529
0.1,5,3,1,4.444455960886254
0.1,5,3,2,1.8128833708933196
0.1,5,3,3,0.8433497398059964
0.1,5,3,4,0.35494058049196076
0.1,6,1,1,4.444446020517157
0.1,6,1,2,1.812867343880109
0.1,6,1,3,0.8433383447864
0.1,6,1,4,0.35492902143057126
0.1,6,2,1,4.444445355768725
0.1,6,2,2,1.8128664503260028
0.1,6,2,3,0.8433379599166946
0.1,6,2,4,0.35492808480608784
0.1,6,3,1,4.444445574287782
0.1,6,3,2,1.812866146043083
0.1,6,3,3,0.843340754374523
0.1,6,3,4,0.3549278571907204
0.1,7,1,1,4.444444539693987
0.1,7,1,2,1.8128656333233806
0.1,7,1,3,0.8433365141379736
0.1,7,1,4,0.35492712719260844
0.1,7,2,1,4.444444495072966
0.1,7,2,2,1.8128655501091897
0.1,7,2,3,0.8433364660877993
0.1,7,2,4,0.3549270774818567
0.1,7,3,1,4.444444474280882
0.1,7,3,2,1.8128655312453499
0.1,7,3,3,0.8433364468955595
0.1,7,3,4,0.3549272025428998
0.1,8,1,1,4.44444453225875
0.1,8,1,2,1.8128811331673327
0.1,8,1,3,0.8433369390167889
0.1,8,1,4,0.35492704841366585
0.1,8,2,1,4.444444455631969
0.1,8,2,2,1.8128667121406081
0.1,8,2,3,0.8433364696779397
0.1,8,2,4,0.3549270389501886
0.1,8,3,1,4.444444447896676
0.1,8,3,2,1.8128710231934824
0.1,8,3,3,0.8433365996558044
0.1,8,3,4,0.3549297730899701
0.1,9,1,1,4.444444453597637
0.1,9,1,2,1.8128819061930024
0.1,9,1,3,0.8433474026204026
0.1,9,1,4,0.3549352491162958
0.1,9,2,1,4.444444451250966
0.1,9,2,2,1.8128671188528236
0.1,9,2,3,0.8433367684321691
0.1,9,2,4,0.35492765204822585
0.1,9,3,1,4.444444448015842
0.1,9,3,2,1.8128658119123624
0.1,9,3,3,0.8433364430294855
0.1,9,3,4,0.3549270447541494
0.1,10,1,1,4.444444450043505
0.1,10,1,2,1.8128663200530872
0.1,10,1,3,0.8433370144747421
0.1,10,1,4,0.354935269595965
0.1,10,2,1,4.444444447344677
0.1,10,2,2,1.8128667484273102
0.1,10,2,3,0.8433367436261715
0.1,10,2,4,0.3549274465491876
0.1,10,3,1,4.4444445011858384
0.1,10,3,2,1.8128712969497618
0.1,10,3,3,0.8433404543090859
0.1,10,3,4,0.3549274689179135
